brand,discount,images,in_stock,item_id,keyword,merchant_name,mrp,page_number,price,product_url,rank,rating,reviews_count,seller_id,sku,sold_count,sponsored,thumbnail,title
MS,78% Off,"https://th-live-01.slatic.net/p/b964537974928ee6096cc9ee1b1f3819.jpg,https://th-live-01.slatic.net/p/b964537974928ee6096cc9ee1b1f3819.jpg,https://th-live-01.slatic.net/p/b964537974928ee6096cc9ee1b1f3819.jpg,https://th-live-01.slatic.net/p/bd4edefd2a8bbb158e586d986a323486.jpg,https://th-live-01.slatic.net/p/bd4edefd2a8bbb158e586d986a323486.jpg,https://th-live-01.slatic.net/p/bd4edefd2a8bbb158e586d986a323486.jpg,https://th-live-01.slatic.net/p/bd4edefd2a8bbb158e586d986a323486.jpg,https://th-live-01.slatic.net/p/bd4edefd2a8bbb158e586d986a323486.jpg,https://th-live-01.slatic.net/p/b964537974928ee6096cc9ee1b1f3819.jpg,https://th-live-01.slatic.net/p/b964537974928ee6096cc9ee1b1f3819.jpg,https://th-live-01.slatic.net/p/bd4edefd2a8bbb158e586d986a323486.jpg,https://th-live-01.slatic.net/p/bd4edefd2a8bbb158e586d986a323486.jpg,https://th-live-01.slatic.net/p/b964537974928ee6096cc9ee1b1f3819.jpg",True,2006798935,protein,FoodGreat,499,1,109,//www.lazada.co.th/products/ms-soy-protein-isolate-whey-i2006798935.html,,4.94,9502,1000415516,2006798935_TH,29.3K sold,False,https://th-live-01.slatic.net/p/bd4edefd2a8bbb158e586d986a323486.jpg,MS SOY PROTEIN ISOLATE  ซอยโปรตีน โปรตีนถั่วเหลือง ไอโซเลท เพิ่มกล้าม ลดไขมัน แพ้เวย์whey โปรตีนนม ทานได้ อยู่ท้อง ลดหิว
No Brand,31% Off,,True,5185558564,protein,X-Nutri,299,1,205,//www.lazada.co.th/products/xnu-mass-soy-protein-gainer-900g-900-i5185558564.html,,4.97,299,100194714141,5185558564_TH,984 sold,False,https://th-live-01.slatic.net/p/ff453c72ca2ca9497a3abb4b3d94c142.jpg,XNU Mass Soy Protein Gainer 900g แมส ซอย โปรตีน 900กรัม
MATELL,17% Off,,True,2345028829,protein,MATELL,199,1,164.43,//www.lazada.co.th/products/matell-soy-protein-isolate-plant-based-non-whey-i2345028829.html,,4.92,34490,100183276,2345028829_TH,245.7K sold,False,https://th-live-01.slatic.net/p/0f88277f2f8953461c377fb1541f9a41.jpg,MATELL Soy Protein Isolate Plant Based ถั่วเหลือง ซอย โปรตีน ไอโซเลท (Non Whey เวย์ )
No Brand,,https://th-live.slatic.net/p/0306eff22f16f3464215d17788c103b9.jpg,True,4732511046,protein,เวิร์คเอาท์,190,1,190,//www.lazada.co.th/products/california-gold-nutrition-450-isolate-i4732511046.html,,4.96,700,100430064462,4732511046_TH,3.5K sold,False,https://th-live.slatic.net/p/cc3c71235012e9ab227d1dcfa45eba0c.jpg,เวย์โปรตีนไอโซเลท California Gold Nutrition แบ่งขาย450กรัม เวย์โปรตีนIsolate
WINKWHITE THAILAND,,,True,5167084173,protein,ดรีม_ช็อป,198,1,198,//www.lazada.co.th/products/wink-white-xs-protein-i5167084173.html,,4.99,183,100238826634,5167084173_TH,496 sold,False,https://filebroker-cdn.lazada.co.th/kf/Scb4d02f444294c5b9bbe2fd44dfd96e3K.jpg,พร้อมส่ง!! ☕️ WINK WHITE XS Protein วิงค์ไวท์ โปรตีน  คุมหิว เร่งเผาผลาญ ของแท้ 💯 ส่งเร็ว ส่งไว ส่งทุกวัน การันตี 🌟
No Brand,34% Off,,True,5185465947,protein,X-Nutri,379,1,252,//www.lazada.co.th/products/kcm-soy-protein-isolate-1-900-dutch-cocoa-i5185465947.html,,5.0,149,100194714141,5185465947_TH,505 sold,False,https://th-live-01.slatic.net/p/2d5876df8ea59aef5d6f289f88a485d6.jpg,KCM Soy Protein Isolate  รสช้อคโกแลต  (1 ซอง 900 กรัม) โกโก้นำเข้าจากเนเธอร์แลนด์(Dutch Cocoa)
New Life Plus,64% Off,"https://th-live-01.slatic.net/p/727d82a0b56f5274cd9952587f777e20.jpg,https://th-live-01.slatic.net/p/da422568929c477ef3f6de11b5639b96.jpg,https://th-live-01.slatic.net/p/04eceaf1b0ee2a5b8f838df58ca051a2.jpg,https://th-live-01.slatic.net/p/4cae7d6ceb29f7e76ed0ccb86a86b15e.jpg,https://th-live-01.slatic.net/p/33aec26495d3dc89c76f7096f062b0a2.jpg,https://th-live-01.slatic.net/p/9af7f2ff7b5423903b367b11ade6415d.jpg,https://th-live-01.slatic.net/p/7bf538e2c5e171abd912ba8dc4c4ddf1.jpg,https://th-live-01.slatic.net/p/af1e9cf7ecdcaa13712bea6fb961caa2.jpg,https://th-live-01.slatic.net/p/0961224acd2864c8721fe7f4c587f3a3.jpg,https://th-live-01.slatic.net/p/a4c972bcd6ddd9b0669c5519d57a38f9.jpg",True,4874817320,protein,NLP Vita Shop,3890,1,1402,//www.lazada.co.th/products/11-nlp-whey-protein-isolate-chocolate-malt-flavor-1-800-i4874817320.html,,4.91,489,100350592865,4874817320_TH,1.4K sold,False,https://sg-test-11.slatic.net/p/af1e9cf7ecdcaa13712bea6fb961caa2.jpg,⚡ส่งฟรี🔥(1แถม1) NLP Whey Protein Isolate Chocolate Malt Flavor เวย์โปรตีน ไอโซเลต รสช็อกโกแลต มอลต์ 1 กระปุก 800 กรัม ทานง่าย ดูดซึมเร็ว มีโปรตีนสูง
BAAM,48% Off,,True,500858830,protein,FITWHEY,700,1,366,//www.lazada.co.th/products/baam-my-whey-1lb-whey-protein-fitwhey-i500858830.html,,4.94,5057,1000097642,500858830_TH,21.8K sold,False,https://th-live-01.slatic.net/p/5be243a6f65fad8e0aa500a7861f1b33.jpg,BAAM MY WHEY 1lb Whey Protein เวย์โปรตีนเพิ่มกล้ามเนื้อ FITWHEY
No Brand,77% Off,,True,3517270443,protein,AD-WHEY,2500,1,567,//www.lazada.co.th/products/soy-protein-isolate-22-lbs-set3-1000-i3517270443.html,,4.92,450,100204359645,3517270443_TH,1.2K sold,False,https://sg-live-01.slatic.net/p/60de95fae461644bbc01670b746d4223.jpg,Soy Protein Isolate 2.2 lbs Set3ถุง ซอยโปรตีนไอโซเลท ขนาด 1000 กรัม ลีน ฟิต กล้ามเนื้อ อิ่มท้อง เวย์โปรตีนถั่วเหลือง
Aw,77% Off,,True,2189090487,protein,AW-SHOP Office ,950,1,218,//www.lazada.co.th/products/aw-pea-protein-isolate-2lbs-907-i2189090487.html,,4.93,2978,100188399572,2189090487_TH,9.2K sold,False,https://th-live-01.slatic.net/p/85fb4d88fdaee2a219195ea878ab1bb8.jpg,AW-Pea Protein Isolate โปรตีนถั่วลันเตา 2lbs ( 907กรัม)
